Date,Open,High,Low,Close,Adj Close,Volume
2024-06-03,12825.0,12825.0,12402.5498046875,12476.150390625,12476.150390625,485936
2024-06-04,12596.599609375,12597.2001953125,11561.4501953125,12176.0498046875,12176.0498046875,825928
2024-06-05,12180.0,12614.099609375,12125.099609375,12502.599609375,12502.599609375,447581
2024-06-06,12511.5498046875,12690.0,12468.0,12673.5,12673.5,447536
